C  -0.101
C   0.585
C  -0.536
C  -0.246
S  -0.037
O  -0.542
H   0.217
SUM -0.659
 
C   0.387
H   0.009
H   0.009
C  -0.242
H   0.075
H   0.075
C  -0.145
H   0.072
H   0.072
C  -0.064
H   0.035
H   0.035
C  -0.010
H   0.036
H   0.036
C  -0.193
H   0.068
H   0.068
C  -0.102
H   0.034
H   0.034
C   0.185
H  -0.023
H  -0.023
C  -0.147
H   0.032
H   0.032
C  -0.104
H   0.024
H   0.024
C   0.167
H  -0.016
H  -0.016
C  -0.179
H   0.041
H   0.041
C   0.173
H  -0.017
H  -0.017
C  -0.383
H   0.090
H   0.090
H   0.090
SUM 0.354
 
Sn  1.114
C  -0.800
H   0.177
H   0.177
H   0.177
C  -0.800
H   0.177
H   0.177
H   0.177
C  -0.800
H   0.177
H   0.177
H   0.177
SUM 0.305
 
 
 
SUMSUM 0.000
